Frame,Left Knee Angle,Right Knee Angle
6,178.58,175.43
7,177.88,175.16
8,178.06,175.4
9,178.06,175.22
10,178.2,175.37
11,178.3,175.33
12,178.44,175.45
13,178.31,175.24
14,178.19,175.06
15,178.1,175.09
16,177.75,175.08
17,177.7,175.13
18,177.64,175.29
19,177.51,176.04
20,177.5,176.24
21,177.88,176.89
22,178.33,177.69
23,178.81,178.42
24,179.42,178.69
25,179.71,178.92
26,179.72,178.73
27,179.62,178.39
28,179.64,178.19
29,179.45,177.93
30,179.44,178.04
31,179.46,178.29
32,179.5,178.46
33,179.39,178.56
34,179.49,179.02
35,179.51,179.19
36,179.56,179.08
37,179.48,178.83
38,179.47,178.54
39,179.54,178.14
40,179.57,177.74
41,179.62,177.3
42,179.76,176.94
43,179.81,176.48
44,179.73,176.17
45,179.56,175.88
46,179.42,176.03
47,179.11,176.26
48,179.13,176.58
49,179.15,176.8
50,179.15,177.01
51,179.17,176.98
52,179.34,177.02
53,179.35,177.3
54,179.16,177.16
55,179.22,176.96
56,179.32,177.08
57,179.3,176.93
58,179.23,176.56
59,179.31,176.52
60,178.99,176.64
61,178.64,176.73
62,178.35,176.96
63,178.06,177.44
64,177.82,177.86
65,177.84,178.24
66,178.08,178.43
67,178.43,178.48
68,178.65,178.22
69,179.02,178.08
70,179.37,177.86
71,179.31,177.46
72,179.2,177.14
73,179.1,176.97
74,179.08,177.03
75,179.0,177.06
76,179.2,177.56
77,179.41,178.08
78,179.52,178.36
79,179.58,178.36
80,179.68,178.43
81,179.56,178.13
82,179.56,177.67
83,179.74,177.34
84,179.67,176.95
85,179.66,176.66
86,179.68,176.45
87,179.55,176.38
88,179.48,176.35
89,179.58,176.51
90,179.55,176.49
91,179.62,176.5
92,179.74,176.98
93,179.75,177.51
94,179.63,177.85
95,179.63,178.26
96,179.63,178.66
97,179.61,178.63
98,179.61,178.83
99,179.74,179.11
100,179.79,179.34
101,179.78,179.25
102,179.57,179.53
103,179.58,179.38
104,179.58,178.99
105,179.55,178.82
106,179.43,178.53
107,179.51,177.95
108,179.5,177.65
109,179.44,177.91
110,179.49,177.93
111,179.68,178.57
112,179.78,178.8
113,179.84,178.8
114,179.71,178.17
115,178.35,177.86
116,177.3,176.85
117,176.7,176.29
118,176.47,175.98
119,176.36,175.94
120,177.41,175.96
121,178.42,176.36
122,179.04,176.71
